Timestamp;Data
884819.133483435;78
884819.14116147;96
884819.148839504;212
884819.156517539;146
884819.164195573;129
884819.171873608;136
884819.179551642;101
884819.187229676;88
884819.194907711;101
884819.202585745;106
884819.21026378;73
884819.217941814;15
884819.225619849;7
884819.233297883;7
884819.240975918;17
884819.248653952;0
884819.256331987;35
884819.264010021;53
884819.271688056;43
884819.27936609;25
884819.287044125;20
884819.294722159;35
884819.302400194;10
884819.310078228;86
884819.317756262;154
884819.325434297;124
884819.333112331;53
884819.340790366;70
884819.3484684;159
884819.356146435;149
884819.363824469;63
884819.371502504;37
884819.379180538;55
884819.386858573;68
884819.394536607;53
884819.402214642;37
884819.409892676;40
884819.41757071;55
884819.425248745;96
884819.432926779;106
884819.440604814;68
884819.448282848;83
884819.455960883;91
884819.463638917;27
